0.00,-0.16
0.21,-0.16
0.41,-0.17
0.58,-0.16
0.77,-0.16
1.00,-0.17
1.22,-0.18
1.54,-0.17
1.78,-0.15
1.98,-0.14
2.17,-0.13
2.37,-0.13
2.59,-0.14
2.79,-0.13
3.06,-0.05
3.22,0.05
3.44,0.21
3.56,0.37
3.69,0.59
3.76,0.77
3.79,1.03
3.78,1.24
3.78,1.51
3.78,1.70
3.78,2.04
3.76,2.23
3.73,2.46
3.65,2.63
3.51,2.84
3.37,2.99
3.16,3.13
2.95,3.22
2.71,3.26
2.51,3.28
2.25,3.27
2.07,3.21
1.88,3.11
1.70,3.02
1.61,2.96
1.44,2.95
1.29,2.94
1.15,2.95
1.02,2.93
0.82,2.97
0.72,2.99
0.56,3.11
0.31,3.21
0.10,3.25
-0.12,3.27
-0.30,3.26
-0.57,3.19
-0.74,3.08
-0.92,2.92
-1.05,2.77
-1.19,2.53
-1.23,2.35
-1.26,2.10
-1.25,1.91
-1.25,1.62
-1.24,1.44
-1.23,1.07
-1.19,0.88
-1.17,0.68
-1.10,0.49
-0.97,0.27
-0.84,0.12
-0.61,-0.03
-0.45,-0.10
-0.21,-0.15
-0.02,-0.16
-0.76,1.38
-0.64,1.38
-0.48,1.38
-0.31,1.37
-0.13,1.38
0.08,1.36
0.29,1.39
0.47,1.39
0.67,1.38
0.86,1.38
1.56,1.44
1.68,1.44
1.88,1.44
2.08,1.44
2.28,1.44
2.49,1.45
2.68,1.44
2.89,1.44
3.08,1.44
3.29,1.44
1.04,2.44
1.04,2.32
1.05,2.16
1.03,1.96
1.04,1.69
1.03,1.39
1.04,1.15
1.05,0.95
1.03,0.75
1.03,0.55
